 श्रावकभूमिः (श्भ्_स्ह्: ५)	ཉན་ཐོས་ཀྱི་ནི་ས་ཞེས་བྱ་༎
 यत्त एवाधिगन्तार[ः] सद्धर्मस्य,	དམ་པའི་ཆོས་རྟོགས་པ་གང་ཡིན་པ་དེ་ཉིད་ཀྱིས་སྐྱེ་བོ་རྣམས་ལ་དམ་པའི་ཆོས་མངོན་སུམ་དུ་བྱ་བའི་སྐལ་བ་དང་མཐུ་ཡོད་པར་རིག་ག་ནས་། 
 सद्धर्मसाक्षात्क्रियायै भव्यां प्रतिबलतां जानतां विदित्वा यथाधिगतामेवानुलोमिकीमववादानुशासनीमनुप्रवर्त्तयन्तीदमुच्यते अवस्थितानां धर्माणामनुप्रवर्त्तनं ॥	ཇི་ལྟར་རྟོགས་པ་ཁོ་ན་དང་རྗེས་སུ་མཐུན་༄༥ཨ་༌་༎ པས་གདམས་ཤིང་རྗེས་སུ་བསྟན་པ་ལ་རྗེས་སུ་འཇུག་པར་བྱེད་པ་ཡིན་ཏེ་། དེ་ནི་ཆོས་གནས་པ་སྣ་ཚོགས་རྗེས་སུ་འཇུག་པ་ཞེས་བྱའོ་༎
 परतः प्रत्यनुकम्पा कतमा ।	གཞན་གྱི་ཕྱིར་རྗེས་སུ་སྙིང་བརྩེ་བར་བྱེད་པ་གང་ཞེ་ན་།
 परत उच्यन्ते दा यकदानपतयः ते यानि तस्यानुलोमिकानि जीवितो पधारणानि तैः प्रत्यनुकम्पते (न्ते)	གཞན་ཞེས་བྱ་བ་ནི་སྦྱིན་པ་པོ་དང་སྦྱིན་བདག་རྣམས་ཏེ་། དེ་དག་གིས་འཚོ་བའི་ཡོ་བྱད་རྐྱེན་དུ་བབས་པ་འདི་ལྟ་སྟེ་།
 यदुत चीवरपिण्डपातशयनासनग्लानप्रत्ययभैषज्यपरिष्कारैरियमुच्यते परतः प्रत्यनुकम्पा ॥	ཆོས་གོས་དང་། བསོད་སྙོམས་དང་། མལ་ཆ་དང་། སྟན་དང་། ནད་ཀྱི་གསོས་སྨན་དང་། ཡོ་བྱད་གང་ཡང་རུང་བ་དེ་དག་གི་ཕྱིར་རྗེ་སུ་སྙིང་བརྩེ་བར་བྱེད་པ་ཡིན་ཏེ་། དེ་ནི་གཞན་གྱི་ཕྱིར་རྗེས་སུ་སྙིང་བརྩེ་བར་བྱེད་པ་ཞེས་བྱའོ་༎
 कुशलो धर्मच्छन्दः कतमः [।	དགེ་བའི་ཆོས་ལ་འདུན་པ་གང་ཞེ་ན་།
 ] यथापीहैकत्यस्तथागतस्य वा,	འདི་ལྟར་འདི་ན་ལ་ལ་དེ་བཞིན་གཤེགས་པའམ་།
 तथागतश्रावकस्य वा अन्तिकाद्धर्मं श्रुत्वा श्रद्धां प्रतिलभते । स तां प्रतिलभ्य इदं संशिक्षते । संबाधो गृहावासो रजसामावासः ।	དེ་བཞིན་གཤེགས་པའི་ཉན་ཐོས་དག་ལས་ཆོས་ཐོས་ཤིང་དད་པ་ཐོབ་པར་གྱུར་ལ་དེས་དེ་ཐོས་ནས་འདི་ལྟར་ཁྱིམ་ན་གནས་པ་ནི་གནོད་པ་དང་ཉོན་མོངས་པའི་གནས་ཡིན་གྱི་།
 अभ्यवकाशं प्रव्रज्य यन्व(यन्न्व) हं सर्वं कड(ल)	རབ་ཏུ་བྱུང་བ་ནི་མངོན་པར་སྐབས་ཡོད་པ་ཡིན་པས་།
 त्रवर्गं, धनधान्यहिरण्यं चोत्सृज्य स्वाख्याते धर्मविनये सम्यगेवागारादनागारिकां प्रव्रजेयम् । प्रव्रजित्वा (श्भ्_स्ह्: ९)	འདི་ལྟར་བདག་གིས་བུད་མེད་ཀྱི་ཚོགས་དང་ནོར་དང་འབྲུ་དང་དབྱིག་ཐམས་ཅད་སྤངས་ལ་། ལེགས་པར་གསུངས་པའི་ཆོས་འདུལ་བ་ལ་ཁྱིམ་མེད་པར་ལེགས་པ་ཁོ་ནར་རབ་ཏུ་འབྱུང་བར་བྱ་ཞིང་། 
 (प्रव्रज्य) च प्रतिपत्त्या सम्पादयेयमिति ।	རབ་ཏུ་བྱུང་ནས་ཀྱང་ནན་ཏན་གྱིས་བསྒྲུབ་པར་བྱའོ་ཞེས་དེ་ལྟར་ཡང་དག་པར་སློབ་པར་བྱེད་པ་ཡིན་ཏེ་།
 य एवमुत्पन्नश्छन्दः कुशलेषु धर्मेष्वयमुच्यते कुशलो धर्मछन्दः (च्छन्दः) ॥	དེ་ལྟར་དགེ་བའི་ཆོས་རྣམས་ལ་འདུན་པ་སྐྱེས་པ་གང་ཡིན་པ་དེ་ནི་དགེ་བའི་ཆོས་ལ་འདུན་པ་ཞེས་བྱའོ་༎
 प्रव्रज्या कतमा [।	རབ་ཏུ་བྱུང་བ་གང་ཞེ་ན་།
 ] या तमेव कुशलं धर्मच्छन्दमधिपतिं कृत्वा ज्ञप्तिचतुर्थेन वाक्कर्मणा उपसम्पत्कुशलैरशी(ःशी) लसमादानं वा [। ] इयमुच्यते प्रव्रज्या ॥	དགེ་བའི་ཆོས་ལ་འདུན་པ་དེ་ཉིད་ཀྱི་དབང་དུ་བྱས་ནས་གསོལ་བ་དང་བཞིའི་ལས་ཀྱིས་བསྙེན་པར་རྫོགས་པར་བྱས་པ་དང་། དགེ་སློང་གི་ཚུལ་ཁྲིམས་ཡང་དག་པར་བླངས་པ་གང་ཡིན་པ་སྟེ་དེ་ནི་རབ་ཏུ་བྱུང་བ་ཞེས་བྱའོ་༎ 
 शीलसम्बरः कतमः [। ] स तथा प्रव्रजितः शीलवान् विहरति,	ཚུལ་ཁྲིམས་ཀྱི་སྡོམ་པ་གང་ཞེ་ན་།
 प्रातिमोक्षसम्वरसंवृतः । आचारगोचरसम्पन्नः । अणुमात्रेष्ववद्ये षु भयदर्शी, समादाय शिक्षते शिक्षापदेषु [।	དེ་ལྟར་རབ་ཏུ་བྱུང་བ་དེ་ཚུལ་ཁྲིམས་དང་ལྡན་པར་གནས་པ་དང་། སོ་སོར་ཐར་པའི་སྡོམ་པས་བསྡམས་པ་དང་། ཆོ་ག་ཕུན་སུམ་ཚོགས་པ་དང་། སྤྱོད་ཡུལ་ཕུན་སུམ་ཚོགས་པ་དང་། ཁ་ན་ཐོ་བ་ཕྲ་རབ་ཙམ་དག་ལ་ཡང་འཇིགས་པར་ལྟ་བ་དང་། བསླབ་པའི་གཞི་རྣམས་ཡང་དག་པར་བླངས་ཤིང་སླབ་?་པར་བྱེད་པ་ཡིན་ཏེ་།
 ] अयमुच्यते शीलसम्वरः ॥	དེ་ནི་ཚུལ་ཁྲིམས་ཀྱི་སྡོམ་བ་ཞེས་བྱའོ་༎
 इन्द्रियसम्वरः कतमः ॥	དབང་པོ་སྡོམ་པ་གང་ཞེ་ན་།
 स तमेव शीलसम्वरं निश्रित्यारक्षितस्मृतिर्भवति । निपकस्मृतिः ।	དེ་ཚུལ་ཁྲིམས་ཀྱི་༄༥བ་སྡོམ་པ་དེ་ཉིད་ལ་བརྟེན་ནས་།
 स्मृत्यारक्षितमानसः समावस्थावचारकः [। ] स चक्षुषा रूपाणि दृष्ट्वा । न निमित्तग्राही भवति,	དྲན་པ་ཀུན་ཏུ་བསྲུངས་པ་དང་། དྲན་པ་ལ་རྟག་འགྲུས་བྱེད་པ་དང་། དྲན་པས་ཡིད་ཀུན་ཏུ་བསྲུངས་པ་དང་། གནས་སྐབས་མཉམ་པ་ལ་འཇོག་པར་བྱེད་ཅིང་དེས་མིག་གིས་གཟུགས་རྣམས་མཐོང་བ་ན་མཚན་མར་མི་འཛིན་ཅིང་མངོན་རྟགས་སུ་མི་འཛིན་ལ་།
 नानुव्यंजनग्राही यतो [अ]धिकरणम स्य पापका, अकुशला धर्माश्चित्तमनुस्रवेयुस्तेषां सम्वराय प्रतिपद्यते [। ] स श्रोत्रेण शब्दां (ब्दान्)	གཞི་གང་ཁོ་ན་ལས་དེའི་སེམས་ཀྱི་རྗེས་སུ་སྡིག་པ་མི་དགེ་བའི་ཆོས་རྣམས་ཟག་པར་གྱུར་པ་དེ་དག་བསྡམ་པར་བྱ་བའི་ཕྱིར་སྒྲུབ་པར་བྱེད་ཅིང་། མིག་གི་དབང་པོ་ཡང་སྲུང་བྱར་བྱེད་ལ་།
 , घ्राणेन गन्धान्, जिह्वया रसान्, कायेन स्प्रष्टव्यानि (।	མིག་གི་དབང་པོས་ཀྱང་སྡོམ་པ་སྒྲུབ་པར་བྱེད་པ་དང་། དེ་རྣ་བས་སྒྲ་དག་དང་། སྣས་དྲི་དག་དང་། ལྕེས་རོ་དག་དང་། ལུས་ཀྱིས་རེག་བྱ་དག་དང་། ཡིད་ཀྱིས་ཆོས་རྣམས་རྣམ་པར་ཤེས་པ་ན་ཡང་མཚན་མར་མི་འཛིན་ཅིང་།
 ), मनसा धर्मान् विज्ञाय न निमित्तग्राही भवति नानुव्यंजनग्राही यतो [अ]धिकरणमस्य पापका (श्भ्_स्ह्: १०)	མངོན་རྟགས་སུ་མི་འཛིན་ལ་།
 अकुशला धर्माश्चित्तमनुस्रवेयुस्तेषां सम्वरा [य प्रतिपद्यते,	གཞི་གང་ཁོ་ན་ལས་དེའི་སེམས་ཀྱི་རྗེས་སུ་སྡིག་པ་མི་དགེ་བའི་ཆོས་རྣམས་ཟག་པར་འགྱུར་བ་དེ་དག་བསྡམ་པར་བྱ་བའི་ཕྱིར་སྒྲུབ་པར་བྱེད་ཅིང་། 
