 (वैद्य २५८)	༄༣༡༤བ་། །རྒྱ་གར་སྐད་དུ་།
 एवं सानुलोमिकीं धर्मदेशनां कृत्वा च तं राजानं बलिमसुरेन्द्रमेवमाह - अप्रमत्तेन भवितव्यम्, न पुनः कदाचित्प्रमादचारिणा भवितव्यम् । एवं बहुदोषदुष्टो ऽयं गृहावासः परमदारुणनरकभूमिप्रपातनः । तस्मात्तर्हि महाराज अप्रमत्तेन भवितव्यं पापभीरुणा । परलोकं दर्शितम् ।	དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོས་དེ་ལ་།
 अपि च महाराज । ममान्तिकाद्धर्मदेशनां शृण्वतो निरवशेषाणि पापस्कन्धानि न च सुपरिशुद्धानि । सर्वदुःखतरगाढबन्धनैः परिमुक्तः । सुखावतीलोकधातुगमनाय तव पन्थानं परिशुद्धम् ।	རྒྱལ་པོ་ཆེན་པོ་།
 तत्र च तव सप्तरत्नमयं पद्मासनं प्रादुर्भूतं भविष्यति । यत्र रत्नपद्मे निषद्य तस्य भगवतो ऽमिताभस्य तथागतस्यार्हतः सम्यक्संबुद्धस्यान्तिकात् इमं सर्वदुःखपापस्कन्धं पापशमनं सर्वदुर्गतिसाधनं अनन्तमणिमहापुण्यनिर्देशं कारण्डव्यूहमहायानं सूत्ररत्नराजं त्वं श्रोष्यसि, श्रुत्वा च तत्रैव व्याकरणमनुप्राप्स्यसे अनुत्तरायां सम्यक्संबोधौ, तावत्सुपरिशुद्धबोधिचित्तालंकारं नाम बोधिसत्त्वजन्म प्रतिलप्स्यसे ।	དེ་རིང་ཛེ་ཏའི་ཚལ་གྱི་གཙུག་ལག་ཁང་འདིར་ཕལ་ཆེར་འདུ་བར་འགྱུར་གྱི་།
 यावदनुत्तरां सम्यक्संबोधिमभिसंबुद्धो भविष्यसि ॥ (वैद्य २७७)	ང་ནི་འགྲོའོ་ཞེས་དེ་སྐད་སྨྲས་སོ་༎
 अथ आर्यावलोकितेश्वरो बोधिसत्त्वो महासत्त्वस्तस्य च बलेरसुरेन्द्रस्य इमं सर्वदुर्गतिपरिशोधनं बोधिसत्त्वालंकारकारण्डव्यूहं नाम धर्मालोकं देशयित्वा तं राजानं बलिमसुरेन्द्रं समाश्वास्य इदमवोचत् - गमिष्याम्यहम् । अस्मिन् जेतवने महाविहारे ऽद्य महासंनिपातो भवति ॥ इति बलिसमाश्वासनं नामैकादशं प्रकरणम् ॥ स्तर्त् क्व्यु १,१२: यक्षादिसमाश्वासनं द्वादशं प्रकरणम् ।	དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོས་༄༣༤༠ཨ་༌༎
 ततो ऽवलोकितेश्वरेण बोधिसत्त्वेन महासत्त्वेन रश्मय उत्सृष्टाः । अनेकानि नानावर्णानि नीलपीतलोहितावदातानि माञ्जिष्ठस्फटिकरजतवर्णानि । गत्वा च विश्वभूवस्तथागतस्य पुरतो व्यवस्थितानि ।	འོད་ཟེར་ཁ་དོག་སྔོན་པོ་དང་། སེར་པོ་དང་། དམར་པོ་དང་། དཀར་པོ་དང་། ཤེལ་དང་། དངུལ་གྱི་ཁ་དོག་རྣམ་པ་དུ་མ་བཏང་བ་དང་། དེ་དག་སོང་སྟེ་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་སྐྱོབ་པའི་སྤྱན་སྔར་འདུག་གོ་།
 तदा ते देवा नागा यक्षा राक्षसा असुरा गरुडाः किन्नरा महोरगा मनुष्याः संनिपतिताः । अनेकानि बोधिसत्त्वशतानि संनिपतितानि ॥	དེའི་ཚེ་ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དང་། མི་དག་ཀྱང་འདུས་སོ་༎
 अथ तेषां बोधिसत्त्वेनां मध्ये गगनगञ्जो नाम बोधिसत्त्व उत्थायासनादेकांसमुत्तरासङ्गं	དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་གི་ནང་ནས་། ནམ་མཁའ་མཛོད་ཅེས་བྱ་བའི་བྱང་ཆུབ་སེམས་དཔའ་སྟེན་ལས་།
 कृत्वा दक्षिणं जानुमण्डलं पृथिव्यां प्रतिष्ठाप्य येन भगवांस्तेनाञ्जलिं प्रणम्य	ལངས་ཏེ་། བླ་གོས་ཕྲག་པ་གཅིག་ལ་གཟེར་ནས་པུས་མོ་ག-ཡས་པའི་ལྷ་པ་ས་ལ་བཙུགས་ཏེ་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་།
 भगवन्तमेतदवोचत् - कुतो भगवन् रश्मय आगच्छन्ति?	བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎ བཅོམ་ལྡན་འདས་། འོད་ཟེར་འདི་དག་ག་ལས་མཆིས་།
 भगवानाह - एष कुलपुत्र अवलोकितेश्वरो बोधिसत्त्वो महासत्त्वो बलेरसुरेन्द्रस्य भवने विहरति,	བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། རིགས་ཀྱི་བུ་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོ་འདི་ལྷ་མ་ཡིན་གྱི་དབང་པོ་གཏོར་མའི་ཁང་པ་ན་གནས་ཏེ་དེ་།
 तेन तस्मान्निष्क्रामित्वा अमी रश्मयः प्रमुक्ताः । ततो ऽमी रश्मय आगच्छन्ति, पुनस्तस्यैव सकाशं गताः ॥	ལ་འོད་ཟེར་འདི་དག་བྱུང་ངོ་༎
 अथ गगनगञ्जो बोधिसत्त्वो महासत्त्वो भगवन्तमेतदवोचत् - केनोपायेन पश्येयमहमवलोकितेश्वरं बोधिसत्त्वं महासत्त्वम्?	དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་ནམ་མཁའ་མཛོད་ཀྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎ བདག་གིས་བྱང་ཆུབ་སེམས་དཔའ་སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོ་བལྟ་བའི་ཐབས་གང་ཞིག་མཆིས་།
 भगवानाह - एष कुलपुत्र इहैवागच्छत्यवलोकितेश्वरः ।	བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། རིགས་༄༣༤༠བ་ཀྱི་བུ་། དེ་ནི་འདི་ཉིད་དུ་འོང་ངོ་༎
 यदा अवलोकितेश्वरो बोधिसत्त्वो महासत्त्वो बलेरसुरेन्द्रस्य भवनान्निष्क्रान्तः, तदा जेतवने महाविहारे दिव्यानि पुष्पवर्षाणि पतन्ति,	གང་གི་ཆེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོ་ལྷ་མ་ཡིན་གཏོར་མའི་གནས་ནས་བྱུང་བ་དེའི་ཚེ་ཛི་ཏའི་ཚལ་གྱི་གཙུག་ལག་ཁང་དུ་ལྷའི་མེ་ཏོག་དག་ལྷགས་སོ་༎ 
