	@1b # // rnal 'byor spyod pa'i sa las nyan thos kyi sa /bam po dang po / dkon mchog gsum la phyag 'tshal lo // nyan thos kyis thams cad kyi bsdus pa'i [dd] sdom gyi tshigs su bcad pa ni / rigs dang gang zag rnams dang ni // nges par sbyor dang 'jig rten pa // 'jig rten 'das pa 'di la ni // mdor na sa ni 'di dag go // sdom ni / rigs dang 'jug dang nges 'byung ba'i // ming du byas pa'i sa gsum mo // de dag rnams ni mdor bsdu na //	10.0
paMcaByaH nivaraNeByaH cittam viSoDayati kAma= CandAt vyApAdAt styAnam idDAt OdDatya kOkRtyAt vicikitsAyAH	sgrib pa lnga po 'dod pa la 'dun pa dang / gnod sems dang / rmugs @6b pa dang / gnyid dang / rgod pa dang / 'gyod pa dang / the tshom dag las sems rnam par sbyong bar byed cing / de sgrib pa de dag las sems rnam par sbyangs na / sgrib pa med pas ting nge 'dzin gyi nyams bde ba la nye bar gnas pa yin te /	81.61466740894167
saH eByaH nivaraNeByaH cittam viSoDya vinivaraNam samADi kalpatAyAm avasTApayatIyam ucyate nivaraNa viSudDiH SBsh	de ni sgrib pa rnam par dag pa zhes bya'o//	44.20825407577869
samADi sanniSraya katamaH	ting nge 'dzin la yang dag pa ra gnas pa gang zhe na /	90.44021965839245
sa paQca nivaraNAni prahAya cetasA upakleSa cetasaH upakleSa karANi saMkleSa karANi	de sgrib pa lnga pos sems nye bar nyon mongs par byed la / shes rab nyam chung bar byed pa rgud pa'i phyogs su gyur la kun nas nyon mongs pa 'phel bar gyur pa dag spangs nas / 'dod pa dag la dben pa /	84.46170108234098
viviktam kAmEH viviktampApakEH akuSalEH DarmEH savitarka sa vicAram viveka jam prIti suKam praTamam DyAnam upasaMpadya viharati	sdig pa mi dge ba'i chos rnams las dben pa rtog pa dang bcas pa / spyod pa dang bcas pa / dben pa las skyes pa'i dga' ba dang / bde ba can bsam gtan dang po bsgrubs te gnas pa dang / de rtog pa dang spyod pa dang bral ba zhing nang yongs su dang ste /	89.25347326439415
sa vitarka sa vicArANAm vyupaSamAt aDyAtma saMprasAdAt cetasaH ekotIBAvAt avitarkam avicAram SBsh	sems kyi rgyud gcig tu gyur pas rtog pa med pa dpyod pa med pa ting nge 'dzin las skyes pa'i dga' ba dang bde ba can /	82.85482702971714
samADi jam prIti suKam dvitIyam DyAnam upasampadya viharati	bsam gtan gnyis pa bsgrubs te gnas pa dang / de dga' ba'i 'dod chags dang bral bas btang snyoms pa la gnas shing /	87.29265649394785
sa prIteH virAgAt upekzakaH viharati smRtaH saMprajAnan suKam ca kAyena pratisamvedayate yat	dran pa dang shes bzhin can yin te / bde ba lus kyis myong la / 'phags pa rnams kyis gang de dran pa dang ldan pa /	87.66774184612974
tad AryA Acakzate upekzakaH smRtimAn suKa vihArI tRtIyam DyAnam upasampadya viharati sa suKasya ca prahANAt pUrvam eva sOmanasya dOr	bde ba la gnas pa btang snyoms pa'o zhes brjod pa ste / dga' ba med pa'i bsam gtan gsum pa bsgrubs te gnas pa dang / de bde ba yang spangs te / snga nas sdug bsngal ba yang spangs shing yid bde ba dang / yid mi bde ba yang nub pas /	94.31892929339928
daduHKa asuKam upekzA smRti pariSudDam caturTam DyAnam upasampadya viharati	bde ba yid ma yin sdug bsngal yang ma yin pa btang snyoms dang dran pa'o yongs su dag pa / bsam gtan bzhi pa bsgrubs te gnas pa yin te /	93.48098814861068
ayam ucyate samADi sanniSrayaH	de ni ting nge 'dzin la yang dag par gnas pa zhes bya'o // de rim pa 'dis dang po bdag gi 'byor pa nas tha ma ting ne 'dzin la yang dag par gnas pa'i mthar thug pa'i bar gyi rkyen khyad par can dang /	75.91262678298662
saH anayA nUpUrvyAH uttarottarAn viSizwAn viSizwatarAn viSizwatamAn pratyagrAn a Atma sampad pUrvAn samADi saMniSraya paryavasAnAn samudA	shin tu khyad par can dang / mchog tu khyad par can rnams gong nas ging du yang dag par bsgrub par byed do //	58.609159178909486
evam pariSudDe citte paryavadAte anaMgaNe vigata upakleSe Rju BUte karmaNye sTite	de de ltar sems yongs su dag par yongs su byang ba / nyon mongs pa med pa / nye ba'i nyon mongs pa dang bral ba / drang por @7a * // gyur pa ; las su rung ba / mig g-yo bar gyur pa la gnas na /	72.62616976238542
AniMjya prApte sa ced catvAri Arya satyAni AraBya tezAm parijQAyE prahANAya sAkzAtkriyAyE BAvanAyE paratas Gozam avavA dAnuSAsanIm pratilaBate	gal te 'phags pa'i bden pa bzhi las brtsams te / de dag yongs su shes par bya ba dang / spang bar bya ba dang / bsgom par bya ba'i phyir gzhan las gdams shing rjes su bstan pa'i sgra thos par gyur nas /	87.71033785369522
evam asO BavyaH Bavati pratibalaH ca yoga nimittasya manaskArasya utpAdanAya	de lta na de ni rigs pas bskyed pa'i yid la byed pa dang / de sngon du btang ba'i yang dag pa'i lta ba bskyed par bya ba'i skal ba dang mthu yod pa yin te /	89.10061598202326
yaH tad pUrvikAyAH ca samyak dRzweH yayA catvAri Arya satyAni aBisamAgacCati	des 'phags pa'i bden pa bzhi po dag mngon par rtogs par byed cing /	76.37921670530395
vimuktiQca paripUrayati	rnam par grol ba yang yongs su rdzogs par byed la /	89.38710442243838
nirupaDi Seze ca nirvANa DAtO parinirvAti	phung po'i lhag ma med pa'i mya ngan las 'das pa'i dbyings su yongs su mya ngan las 'da' bar yang byed do //	90.50570507205916
tatra yA samyak darSanam upAdAya vimukti paripUriH	de la yang dag pa'i lta bal brten nas rnam par grol ba yongs su rdzogs yang byed do // pa dang /	91.22398260314328
SBsh  nirupaDi Seza parinirvANam ca ayam gotra samudAgamaH veditavyaH	phung po lhag ma med pa'i mya ngan las 'das pa gang yin pa de ni rigs yang dag par grub pa yin par rig par bya'o // de la bdag gi 'byor pa nas bzung ste /	85.51323531378655
tatra Atma sampadam upAdAya yAvat samADi sanniSrayaH ayam hInaH samudAgama pratyayaH veditavyaH	ting nge 'dzin la yang dag par gnas pa'i bar gang yin pa de ni yang dag par 'grub pa'i rkyen dman pa yin par rig par bya'o //	88.82405631817998
tatra yaH catur satya deSanO= avAda ADipateyaH paratas GozaH	de la 'phags pa'i bden pa bzhi ston pa'i gdams ngag gi dbang du byas pa'i gzhan gyi sgra gang yin pa dang /	90.09837799870458
yaH ca yoniSas manaskAraH ayam praDAnaH samudAgama pratyayaH veditavyaH	nang gi tshul bzhin yid la byed pa gang yin pa de ni yang dag par 'grub pa'i rkyen gtso bo yin par rig par bya yin pa dang /	91.73016920249985
idam ucyate gotra vyavasTAnam	ste / de ni rigs rnam par gzhag pa zhes bya'o //	94.65138610204062
gotra sTasya pudgalasya katamAni liMgAni Aha yAni aparinirvANa Darmakasya liMgAni	rigs la gnas pa'i gang zag gi rtags rnams gang zhe na /	79.27240205823286
Aha	smras pa /	82.219407081604
yAni aparinirvANa Darmakasya liMgAni tad viparyayeNa gotra sTasya pudgalasya liMgAni veditavyAni	yongs su mya ngan las mi 'da' ba'i chos can gyi rtags gang yin pa de dag las bzlog pa ni rigs la gnas pa'i gang zag gi rtags rnams yin par rig par bya'o //	93.07324530510002
kAni punar aparinirvANa Darma kaliMgAni yEH samanvAgataH aparinirvANa DarmakaH	gang dag dang ldan na yongs su mya ngan las mi 'da' ba'i chos can gyi gang zag la //	75.27038496996286
aparinirvANa DarmakaH yam iti vijQeyaH	'di ni yongs su mya ngan las mi ba'i chos can yin no zhes shes par 'gyur pa'i yongs su mya ngan las mi 'da' ba'i chos can gyi rtags rnams gang zhe na / smras pa /	75.14472848911865
bahUni aparinirvANa Darma kaliMgAni	yongs su mya ngan las mi 'da' ba'i chos can gyi rtags ni mang du yod mod kyi /	75.67490786497865
pradeSa mAtram pradeSa m Atrantu nirdekzyAmi	phyogs tsam zhig brjod par bya'o //	51.092047895704
iha aparinirvANa Darmasya pudgalasya Aditas eva Ala  tRzNA sarveNa sarvam sarvaTA ca	'di la yongs su mya ngan las mi @7b 'da' ba'i chos can gyi gang zag gi lus la gzhi'i sred pa'i dang po nyid nas kun tu zhen pa / sangs rgyas thams cad kyis kyang /	82.82558623448988
sarva budDEH ASraya sannivizwA aprahANa DarmiNI Bavati anutpAdyAH dUra AgatA pragAXa sannivizwAH idam	thams cad kyi thams cad dang / rnam pa thams cad kyi thams cad du spangs bar mi spyod ba'i chos can ma bshig pa / ring du song ba rab tu dam por kun tu zhen pa yod pa /	85.98617003661839
idam praTamamagotraka sTasya pudgalasya liMgam	de ni rigs med pa la gnas pa'i gang zag gi rtags dang po yin no //	91.99863175121624
punar aparama gotra sTaH pudgalaH aneka paryAyeNa saMsAra guNAn vicitrAn praBUtAn= ca SBsh SrutvA nirvANa guNAn= ca aneka paryAyeNa vicitrAn	gzhan yang rigs med pa la gnas pa'i gang zag ni 'khor ba'i skyon sna tshogs dang / rab tu mang po dag rnam grangs du mar thos kyang des 'das pa'i dus la brten te /	78.74944971677932
praBUtAn= ca SrutvA parIttam api prapaMce saMsAra doza darSanam AdIn ava darSanam	'khor ba'i spros pa las skyon du lta ba dang / nyes dmigs su lta ba dang / skyo ba cung zas tsam yang ma skyed cing /	83.84292817718055
saMvega mAtram na utpAditavAn atItam aDvAnam upAdAya na utpAdayizyatyAnAgatam aDvAnam upAdAya na utpAdayati vartamAnam aDvAnam upAdAya parItt	ma 'ongs pa'i dus la brten te skyed par yang mi 'gyur / de ltar gyi dus la brten te skyed par yang mi byed la / 'das pa dang ma 'ongs pa dang de ltar byung ba'i dus rnams la brten pa /	82.87084248439301
tRzNA kzaye virAge	mya ngan las 'das pa sred pa zad pa /	80.24499968580298
niroDe guNa darSanam uSan sa SaMsa darSanam prasAda mAtrakam atIta anAgata pratyutpannam aDvAnam upAdAya na utpAditavAn na utpAdayizyati na utpAdayati	'dod chags dang bral ba dang / 'gog pa la yon tan du lta ba dang / phan yon du lta ba dang / dad pa cung zad tsam dang / cha cung zad tsam dang / ngan ngo tsam yang ma bskyed bskyed par mi 'gyur / skyed par mi byed de /	78.32553382851603
idam dvitIyam agotra sTasya pudgalasya liMgam	de ni rigs med pa la gnas pa'i rtag gnyis pa yin no //	77.56382004419963
punar aparama gotra sTaH pudgalaH aneka paryA yeNa gAmI duHKA patrApyeNa samanvAgataH Bavati	gzhan yang rigs med pa la gnas pa'i gang zag ni dang po nyid nas ngo tsha med pa dang / khrel med pa chen po dang ldan pa yin te /	84.53095020161022
yena ayam aGRNa cittaH ca asaMkucita cittaH ca prahRzwa cittaH ca sarvasya ayam aDyAcarati na ca kadAcid tani nni	des de snying rje med pa dang / bag tsha ba med pa'i sems dang / rab tu rangs pa'i sems kyis sdig pa thams cad la lhag par spyod par byed cing /	74.49941080119186
dAnam vipratisArI Bavati na anyatra	gzhi des lan 'ga' 'ang 'gyod par mi byed la / gzhi des tshe de'i zang zing dang bcas pa'i bdag nyid nyams pa kho na tsam du mthong bar zad de /	70.43260464108056
idam tRtIyam agotra sTam liFgam	de ni rigs med pa la gnas pa'i rtags gsum pa yin no //	85.95816799446389
punar aparama gotra sTaH SBsh sarva AkAra paripUrNe asya doza yukte citre tte gamake duHKam vA AraBya	gzhan yang rigs med pa la gnas pa'i gang zag ni sdug bsngal lam /	58.917428851432504
samudayam vA	kun 'byung ba'am /	88.32415874799092
niroDamvA	'gog pa'am /	78.11491346359253
mArgamvA	lam las brtsams te / rnam pa thams cad yongs su rdzogs pa gsal ba rigs pa sna tshogs pa go sla ba'i dam pa'i chos ston cing yang dag par ston pa na /	40.96377925584488
sadDarme deSyamAne na laBate cetasaH Avarjana mAtre karmaNi	cung zad sems gtod pa tsam dang / mos pa tsam yang ma thob na /	71.99179028102019
mukti mAtre yat uta atItam aDvAnam upAdAya anAgatam aDvAnam upAdAya ye duta pratyutpannam aDvAnam upAdAya	@8a * // 'das pa dang / ma 'ongs pa dang / da ltar byung ba'i dus rnams la brten te spu zing zhes byed pa'am / mchi ma dkrug ces byed pa thob par gyur pa lta ci smos te /	90.09302736827487
idam caturTam agotra sTam liMgam	de ni rigs med pa la gnas pa'i rtags bzhi pa yin no // gzhan yang rigs med pa la gnas /	81.68600397665345
punar aparama gotra sTaH pudgalaH sa ced kadAcid karha rhi cit su AKyAte Darma vinaye pravrajati sa rAjA BinirNItaH vA caH ca o	pa'i gang zag ni gal te brgya la brgya lam na legs par gsungs pa'i chos 'dul ba la rab tu byung na der rgyal pos gtses pa'am /	77.46750746925886
rABi nirNItaH vA	chom rkun pas gtses pa'am /	86.72381897325869
RNa ArtaH vA	bu lon gyis nyam thag pa'am /	73.17694823495273
ajIvika Amaya BItaH vA	'jigs pas nyam thag pa'am /	76.83556404820196
mAra Baya BItaH vA	mi 'tsho bas 'jigs shing skrag pa'i phyir yin gyi bdag nyid dul bar bya ba'i phyir ma yin no // bdag nyid zhi bar bya ba'i phyir ma yin / bdag nyad yongs su mya ngan las 'da' bar bya ba'i phyir ma yin / dge sbyong gi phyir ma yin /	37.10002476057976
aSramaNaH SramaNa prati jQaH	bram ze'i phyir ma yin te / de ltar rab tu byung nas kyang khim [?] na gnas pa dang / rab tu byung ba dag dang 'dren mar gnas shing /	61.81928862313191
abrahmacArI brahmacArI ri pratijQaH atIta anAgata pratyutpannezu aDvasva gotra sTasya pudgalasya evam eva pravrajyA veditavyA	lha'am lha gang yang rung ba dag tu smon pa'i phyir tshangs par spyad pa spyod par byed pa dang / bslab pa phul nas spangs pa la 'jug par 'gyur pa dang / tshul khrims 'chal ba dang / nang myags pa dang / nyes 'dzag tu gyur pa dang / shing rul pa lta bur gyur pa dang / lung bong ltar kun tu spyod cing dge sbyong ma yin par dge sbyong du khas 'che ba yin te / rigs med pa la gnas pa'i gang zag ni 'das pa dang / ma 'ongs pa dang / da ltar byung ba'i dus rnams su yang de kho na bzhin du rab tu byung ba yin par rigs par bya'o //	53.26430471511877
na vA SikzA kAmasya pudgalasya pravrajya upasampad Bikzu BAvaH	bslab pa 'dod pa ma yin pa'i gang zag gi rab tu byung ba dang / bsnyen par rdzogs pa'i dge slong gi dngos po ma yin no //	87.72892906772086
tat anena paryAyeNa anena aBisanDinA arTataH nEryANikataH agotra sTaH pudgalaH pravrajitaH iti saMKyAm gacCati	de'i phyir rnam grangs de dang bsam pa des na de'i de ni don gyi sgo nas rab tu byung bam yin gyi / rab tu byung ba'i rtags dang cha lugs 'dzin pa tsam gyis rab tu byung ba zhes bya ba'i grangs su 'gro ba kho na zad bam yin gyi / de /	78.4063273686662
idam paQcamamagotra sTasya pudgalasya liMgam	de ni rigs med pa la gnas pa'i gang zag gi rtags lnga pa bam yin gyi / de / yin te /	92.6615674362229
punar aparama gotra sTaH pudgalaH yat kiMcid kuSalam karma karoti SBsh  kAyena vAcA manasA vA tat sarvam Bava aBiprAyaH vA	gzhan yang rigs med pa la gnas pa'i gang zag ni lus sam ngag gam yid kyi dge ba'i las gang cung zad ci @8b byed kyang rung ste / de thams cad srid pa'i bsam pa'i phyir te phyi ma la yang 'byung ba'i srid pa khyad par du 'phags pa dag 'dod phyir ram / longs spyod kyi bsam ba'i phyir te /	75.1706695433492
viSizwam Ayati punarBavam aBiprArTayamAnaH Boga aBiprAyaH vA Bavati	longs spyod khyad par du 'phags pa dga' 'dod pa'i phyir byed pa yin te /	67.90262161938305
idam zazWam agotra sTasya pudgalasya liMgam	de ni rigs med pa la gnas pa'i gang zag gi rtags drug pa yin no //	91.30718478566841
evaMBAgIyAni ca asya bahUni liFgAni samvidyante yEH samanvAgataH aparinirvANa DarmakaH aparinirvANa DarmakaH iti saMKyAm gacCati	gang dag dang ldan na yongs su mya ngan las mi 'da' ba'i chos can gyi gang zag la 'di ni yongs su mya ngan las mi 'da' ba'i chos can gyi gang zag yin no zhes bya ba'i grangs su 'gro ba de'i rtags ni de lta bu dang mthun pa mang du yod do //	88.36311799786773
tatra katame gotra sTAH pudgalAH	de la rigs la gnas pa'i gang zag rnams gang zhe na /	95.78617154634917
Aha	smras pa /	82.219407081604
asti gotra sTaH pudgalaH gotraH eva sTitaH	rigs la gnas pa'i gang zag ni rigs la gnas pa kho na yin la /	92.32992984792939
na avatIrNaH na nizkrAntaH avatIrNaH na nizkrAntaH	ma zhugs shing nges par ma byung ba yang yod do / rigs la gnas la zhugs shing nges par ma byung ba yang yod do //	81.62053637733872
avatIrNaH nizkrAntaH mRdu indriyaH	rigs la gnas la zhugs shing nges par 'byung ba yang yod do //	78.86605593415558
maDya indriyaH tIkzNa indriyaH rAga caritaH dveza caritaH moha caritaH akzaNa upapannaH apramattaH miTyA pratipannaH amiTyA pratipannaH AvRtaH anAvRtaH dUre antike paripakvaH cA aparipakvaH ca viSudDaH ca aviSudDaH ca	dbang po rtul po dang / dbang po 'bring po dang / dbang po rnon po dang / 'dod chags spyad pa dang / zhe sdang spyad pa dang / gti mug spyad pa dang / mi khom par skyes pa dang / khom par skyes pa dang / bag med pa dang ldan pa dang / bag yod pa dang ldan pa dang / log par zhugs pa dang / log pa ma yin par zhugs pa dang / bsgribs pa dang / yun ring ba dang / thag nye ba dang / yongs su ma smin pa dang / yongs su smin pa dang / rnam par ma dag pa dang / rnam par dag pa dag kyang yod do //	67.69340628848603
tatra katamaH gotra sTaH eva pudgalaH	de la rigs la gnas pa'i gang zag rigs la gnas pa kho na yin na / ma zhugs shing nges par ma byung ba gang zhe na /	86.05855438508044
Aha yaTA api iha ekatyaH pudgalaH loka uttara Darma bIja moha AgataH Bavati	'di ltar 'di na gang zag la la 'jig rten las 'das pa'i chos kyis bon dang ldan pa kho na yin na /	76.34996970569411
na ca punar adya api laBate sat puruza saMsevAm vA Agamya	da dung skyes bu dam pa la legs par brten pa'am /	80.37516223719857
sadDarma SravaNam vA	brten nas dam pa'i chos nyan pa'am /	86.8846988413069
taTAgata pravedite Darma vinaye SradDAm ca SIlam ca samAdadAti	de bzhin gshegs pas gsungs pa'i chos 'dul ba la dad pa thob pa ma yin zhing / tshul khrims yang dag par len par mi byed /	87.78797342883536
na Srutam udgRhaNAti	thos pa 'dzin par mi byed /	85.85533034359966
na tyAgam bRMhayati	gtong ba spel bar mi byed /	80.59135708985505
na dRzwim RjUkaroti	lta ba sbyor bar mu byed pa yin @9a * //	63.55515599250794
ayam ucyate gotra sTaH eva pudgalaH	te ; de ni rigs la gnas pa kho na yin la / ma zhugs shing nges par ma byung ba yin no // rigs la gnas la zhugs shing nges par ma byung ba gang zhe na /	72.67765922679419
asya viparyayeNa Sukla pakzeNa gotra sTaH ca avatIrNaH ca SBsh veditavyaH ayantu viSezaH no tu lABI Bavati Arya mArgasya tad Palasya ca kleSa visaMyogasya	sngar bshad pa'i nag po'i phyogs las bzlog pa dkar po'i phyogs la rigs la gnas la zhugs shing nges par ma byung ba yin par rig par bya ste / bye brag ni 'phags pa'i lam dang de'i 'bras bu nyan mongs pa dang bral ba ma thob pa / yid do //	91.1893768792439
katamaH gotra sTaH ca avatIrNaH ca nizkrAntaH ca	rigs la gnas la zhugs shing nges par byung ba gang zhe na /	84.814950408091
etat eva uktvA ayam viSezaH	de dag gnyis brjod nas /	84.31800699234009
lABI Bavati Arya mArgasya tad Palasya ca	bye brag ni 'phags pa'i lam dang / de'i 'bras bu nyon mongs pa dang bral ba thob par bya ba de yod do //	87.20630183134824
tatra mRdu indriyaH pudgalaH katamaH	de la dbang po rtul po gang zhe na /	92.68945670127869
yasya na atyarTam jQeye vastuni Alambane atyarTam DanDavAhIni indriyANi Bavanti manda vAhIni vA Sruta mayena vA	gang zag ces bya ba'i dngos po dmigs pa la 'di lta ste /	47.31006078495398
cintA mayena vA BAvanA mayena vA manasikAreNa saMprayuktAni yat uta SradDA vIryam smRtiH samADiH prajQA vA na samarTAni	thos pa las byung ba dang / bsams pa las byung ba dang / bsgoms pa las byung ba'i yid la byed pa dang mtshungs par ldan pa'i dbang po dad pa dang / brtson 'grus dang / dran pa dang / ting nge 'dzin dang / ye shes dag shin tu bul bar 'jug cing dal bar 'jug la /	77.05543082461118
na pratibalAni Darmasya vA prativeDAya arTasya vA aSuca prativeDAya	chos dang don rab tu 'byed pa dang / myur ba dang / de kho na rab tu 'byed par yang mi nus shing mthu med pa gang yin pa ste /	77.9433945609198
ayam ucyate mRd u indriyaH pudgalaH maDya indriyaH katamaH	de ni gang zag dbang po rtul po zhes bya'o // de la dbang po 'bring gang zhe na /	93.2901084229877
yasya na atyarTam jQeye vastuni Alambane DanDavAhIni indriyANi sarvam pUrvavat vistareNa vaktavyam ayam ucyate maDya indriyaH pudgalaH	shes bya'i dngos po dmigs pa la dbang po rnams shin tu bul shing dal bar 'jug pa ma yin par thams cad snga ma bzhin du rgyas par brjod par bya ba gang yin pa ste / de ni gang zag dbang po 'bring zhes bya'o //	89.42439202952632
tIkzNa indriyaH pudgalaH katamaH	gang zag dbang po rnon po gang zhe na /	89.83104752271603
yasya pudgalasya jQeye vastuni Alambane aDanDa vAhIni indriyANi Bavanti amanda vAhIni Sruta mayena vA SBsh	gang zag shes bya'i dngos po dmigs pa la 'di lta ste /	55.406958319071784
cintA mayena vA BAvanA mayena vA manasikAreNa saMprayuktAni yat uta SradDA vIryam smRtiH	thos pa las byung dang / bsams pa las byung ba dang / bsgoms pa las byung ba'i yid la byed pa dang mtshungs par ldan pa'i dbang po // dad pa dang / brtson 'grus dang / dran pa dang / ting nge 'dzin dang / shes rab dag bu la ba ma yin par 'jug cing dal ba ma yin par 'jug la /	72.6369455677765
samADiH prajQA vA SaktAni Bavanti Darmasya prativeDAya arTasya vA ASu ca prativeDAya	chos dang don rab tu 'byed pa dang / myur ba dang / de kho na rab tu 'byed par yang nus shing mthu yod par gang yin pa ste /	80.24524652913314
tanu vA ayam ucyate tIkzNa indriyaH pudgalaH	de ni gang zag dbang po rngon po zhes bya'o //	85.25762425298275
